raceEn,raceTc,typeEn,typeTc,metaEn,metaTc,listEn,listTc,banker,sel,betLink,sort,hasPublished,expertName
Race1,第1場,QUINELLA,連贏,"21/01 (Sun) 18:45, Class 5,|1200M, All Weather Track","21/01 (星期三) 18:45, 第五班,|1200米, 全天候跑道",5. ROBOT KNIGHT,5. 機械騎士,false,false,https://sh.hkjc.com/m/8rlGQC53iL,0,false,Sarah
Race1,第1場,QUINELLA,連贏,"21/01 (Sun) 18:45, Class 5,|1200M, All Weather Track","21/01 (星期三) 18:45, 第五班,|1200米, 全天候跑道",9. EXCELLENT DADDY,9. 逆市奇爸,false,false,https://sh.hkjc.com/m/8rlGQC53iL,0,false,Sarah
Race1,第1場,QUINELLA,連贏,"21/01 (Sun) 18:45, Class 5,|1200M, All Weather Track","21/01 (星期三) 18:45, 第五班,|1200米, 全天候跑道",12. SONIC BOOM,12. 快馬加鞭,false,false,https://sh.hkjc.com/m/8rlGQC53iL,0,false,Sarah
Race2,第2場,QUINELLA,連贏,"21/01 (Sun) 19:15, Class 5,|1650M, All Weather Track","21/01 (星期三) 19:15, 第五班,|1650米, 全天候跑道",2. COURIER MAGIC,2. 魔法速遞,false,false,https://sh.hkjc.com/m/ld1JLbUDyv,0,false,Sarah
Race2,第2場,QUINELLA,連贏,"21/01 (Sun) 19:15, Class 5,|1650M, All Weather Track","21/01 (星期三) 19:15, 第五班,|1650米, 全天候跑道",6. JOLLY JUMPER,6. 肥仔精神,false,false,https://sh.hkjc.com/m/ld1JLbUDyv,0,false,Sarah
Race2,第2場,QUINELLA,連贏,"21/01 (Sun) 19:15, Class 5,|1650M, All Weather Track","21/01 (星期三) 19:15, 第五班,|1650米, 全天候跑道",11. GO GO GO,11. 上市魅力,false,false,https://sh.hkjc.com/m/ld1JLbUDyv,0,false,Sarah
Race3,第3場,QUINELLA,連贏,"21/01 (Sun) 19:45, Class 4,|1200M, All Weather Track","21/01 (星期三) 19:45, 第四班,|1200米, 全天候跑道",8. GLACIATED,8. 金多囍,false,false,https://sh.hkjc.com/m/YneEeVsqGm,0,false,Sarah
Race3,第3場,QUINELLA,連贏,"21/01 (Sun) 19:45, Class 4,|1200M, All Weather Track","21/01 (星期三) 19:45, 第四班,|1200米, 全天候跑道",10. SPEEDY SMARTIE,10. 伶俐驫駒,false,false,https://sh.hkjc.com/m/YneEeVsqGm,0,false,Sarah
Race3,第3場,QUINELLA,連贏,"21/01 (Sun) 19:45, Class 4,|1200M, All Weather Track","21/01 (星期三) 19:45, 第四班,|1200米, 全天候跑道",11. JUICY DRAGON,11. 起舞奜奜,false,false,https://sh.hkjc.com/m/YneEeVsqGm,0,false,Sarah
Race4,第4場,QUINELLA,連贏,"21/01 (Sun) 20:15, Class 2,|1650M, All Weather Track","21/01 (星期三) 20:15, 第二班,|1650米, 全天候跑道",3. SOLEIL FIGHTER,3. 太陽勇士,false,false,https://sh.hkjc.com/m/iOD0HZZHPW,0,false,Sarah
